id,task_id,original_text,optimized_text,domain,abstraction_level,precision,clarity,completeness,context_json,transformation_json,evaluation_score,created_at,updated_at,deleted_at
1,1,初品加工時の寸法ばらつきを観測し、原因を特定した。,寸法ばらつきの主因は工具摩耗と熱変位であると判定。補正テーブルと温度補正を導入し再発防止を提案。#1,manufacturing,operational,0.8,0.85,0.75,"{""task_id"": 1, ""sensor_types"": [""force"", ""temp"", ""vibration""], ""instance"": 1}","{""steps"": [""detect"", ""analyze"", ""propose""], ""changes"": [""tool_offset"", ""temp_comp""]}",0.7,2024-01-09T08:00:00Z,2024-01-09T08:00:00Z,
2,1,初品加工時の寸法ばらつきを観測し、原因を特定した。,寸法ばらつきの主因は工具摩耗と熱変位であると判定。補正テーブルと温度補正を導入し再発防止を提案。#2,manufacturing,technical,0.8200000000000001,0.86,0.78,"{""task_id"": 1, ""sensor_types"": [""force"", ""temp"", ""vibration""], ""instance"": 2}","{""steps"": [""detect"", ""analyze"", ""propose""], ""changes"": [""tool_offset"", ""temp_comp""]}",0.72,2024-01-09T08:00:00Z,2024-01-09T08:00:00Z,
3,1,初品加工時の寸法ばらつきを観測し、原因を特定した。,寸法ばらつきの主因は工具摩耗と熱変位であると判定。補正テーブルと温度補正を導入し再発防止を提案。#3,manufacturing,operational,0.8400000000000001,0.87,0.81,"{""task_id"": 1, ""sensor_types"": [""force"", ""temp"", ""vibration""], ""instance"": 3}","{""steps"": [""detect"", ""analyze"", ""propose""], ""changes"": [""tool_offset"", ""temp_comp""]}",0.74,2024-01-09T08:00:00Z,2024-01-09T08:00:00Z,
4,1,初品加工時の寸法ばらつきを観測し、原因を特定した。,寸法ばらつきの主因は工具摩耗と熱変位であると判定。補正テーブルと温度補正を導入し再発防止を提案。#4,manufacturing,technical,0.8600000000000001,0.88,0.75,"{""task_id"": 1, ""sensor_types"": [""force"", ""temp"", ""vibration""], ""instance"": 4}","{""steps"": [""detect"", ""analyze"", ""propose""], ""changes"": [""tool_offset"", ""temp_comp""]}",0.76,2024-01-09T08:00:00Z,2024-01-09T08:00:00Z,
5,1,初品加工時の寸法ばらつきを観測し、原因を特定した。,寸法ばらつきの主因は工具摩耗と熱変位であると判定。補正テーブルと温度補正を導入し再発防止を提案。#5,manufacturing,operational,0.88,0.85,0.78,"{""task_id"": 1, ""sensor_types"": [""force"", ""temp"", ""vibration""], ""instance"": 5}","{""steps"": [""detect"", ""analyze"", ""propose""], ""changes"": [""tool_offset"", ""temp_comp""]}",0.78,2024-01-09T08:00:00Z,2024-01-09T08:00:00Z,
6,1,初品加工時の寸法ばらつきを観測し、原因を特定した。,寸法ばらつきの主因は工具摩耗と熱変位であると判定。補正テーブルと温度補正を導入し再発防止を提案。#6,manufacturing,technical,0.8,0.86,0.81,"{""task_id"": 1, ""sensor_types"": [""force"", ""temp"", ""vibration""], ""instance"": 6}","{""steps"": [""detect"", ""analyze"", ""propose""], ""changes"": [""tool_offset"", ""temp_comp""]}",0.8,2024-01-09T08:00:00Z,2024-01-09T08:00:00Z,
7,1,初品加工時の寸法ばらつきを観測し、原因を特定した。,寸法ばらつきの主因は工具摩耗と熱変位であると判定。補正テーブルと温度補正を導入し再発防止を提案。#7,manufacturing,operational,0.8200000000000001,0.87,0.75,"{""task_id"": 1, ""sensor_types"": [""force"", ""temp"", ""vibration""], ""instance"": 7}","{""steps"": [""detect"", ""analyze"", ""propose""], ""changes"": [""tool_offset"", ""temp_comp""]}",0.82,2024-01-09T08:00:00Z,2024-01-09T08:00:00Z,
8,1,初品加工時の寸法ばらつきを観測し、原因を特定した。,寸法ばらつきの主因は工具摩耗と熱変位であると判定。補正テーブルと温度補正を導入し再発防止を提案。#8,manufacturing,technical,0.8400000000000001,0.88,0.78,"{""task_id"": 1, ""sensor_types"": [""force"", ""temp"", ""vibration""], ""instance"": 8}","{""steps"": [""detect"", ""analyze"", ""propose""], ""changes"": [""tool_offset"", ""temp_comp""]}",0.84,2024-01-09T08:00:00Z,2024-01-09T08:00:00Z,
9,1,初品加工時の寸法ばらつきを観測し、原因を特定した。,寸法ばらつきの主因は工具摩耗と熱変位であると判定。補正テーブルと温度補正を導入し再発防止を提案。#9,manufacturing,operational,0.8600000000000001,0.85,0.81,"{""task_id"": 1, ""sensor_types"": [""force"", ""temp"", ""vibration""], ""instance"": 9}","{""steps"": [""detect"", ""analyze"", ""propose""], ""changes"": [""tool_offset"", ""temp_comp""]}",0.86,2024-01-09T08:00:00Z,2024-01-09T08:00:00Z,
10,1,初品加工時の寸法ばらつきを観測し、原因を特定した。,寸法ばらつきの主因は工具摩耗と熱変位であると判定。補正テーブルと温度補正を導入し再発防止を提案。#10,manufacturing,technical,0.88,0.86,0.75,"{""task_id"": 1, ""sensor_types"": [""force"", ""temp"", ""vibration""], ""instance"": 10}","{""steps"": [""detect"", ""analyze"", ""propose""], ""changes"": [""tool_offset"", ""temp_comp""]}",0.88,2024-01-09T08:00:00Z,2024-01-09T08:00:00Z,
11,1,初品加工時の寸法ばらつきを観測し、原因を特定した。,寸法ばらつきの主因は工具摩耗と熱変位であると判定。補正テーブルと温度補正を導入し再発防止を提案。#11,manufacturing,operational,0.8,0.87,0.78,"{""task_id"": 1, ""sensor_types"": [""force"", ""temp"", ""vibration""], ""instance"": 11}","{""steps"": [""detect"", ""analyze"", ""propose""], ""changes"": [""tool_offset"", ""temp_comp""]}",0.7,2024-01-09T08:00:00Z,2024-01-09T08:00:00Z,
12,1,初品加工時の寸法ばらつきを観測し、原因を特定した。,寸法ばらつきの主因は工具摩耗と熱変位であると判定。補正テーブルと温度補正を導入し再発防止を提案。#12,manufacturing,technical,0.8200000000000001,0.88,0.81,"{""task_id"": 1, ""sensor_types"": [""force"", ""temp"", ""vibration""], ""instance"": 12}","{""steps"": [""detect"", ""analyze"", ""propose""], ""changes"": [""tool_offset"", ""temp_comp""]}",0.72,2024-01-09T08:00:00Z,2024-01-09T08:00:00Z,
13,1,初品加工時の寸法ばらつきを観測し、原因を特定した。,寸法ばらつきの主因は工具摩耗と熱変位であると判定。補正テーブルと温度補正を導入し再発防止を提案。#13,manufacturing,operational,0.8400000000000001,0.85,0.75,"{""task_id"": 1, ""sensor_types"": [""force"", ""temp"", ""vibration""], ""instance"": 13}","{""steps"": [""detect"", ""analyze"", ""propose""], ""changes"": [""tool_offset"", ""temp_comp""]}",0.74,2024-01-09T08:00:00Z,2024-01-09T08:00:00Z,
14,1,初品加工時の寸法ばらつきを観測し、原因を特定した。,寸法ばらつきの主因は工具摩耗と熱変位であると判定。補正テーブルと温度補正を導入し再発防止を提案。#14,manufacturing,technical,0.8600000000000001,0.86,0.78,"{""task_id"": 1, ""sensor_types"": [""force"", ""temp"", ""vibration""], ""instance"": 14}","{""steps"": [""detect"", ""analyze"", ""propose""], ""changes"": [""tool_offset"", ""temp_comp""]}",0.76,2024-01-09T08:00:00Z,2024-01-09T08:00:00Z,
15,1,初品加工時の寸法ばらつきを観測し、原因を特定した。,寸法ばらつきの主因は工具摩耗と熱変位であると判定。補正テーブルと温度補正を導入し再発防止を提案。#15,manufacturing,operational,0.88,0.87,0.81,"{""task_id"": 1, ""sensor_types"": [""force"", ""temp"", ""vibration""], ""instance"": 15}","{""steps"": [""detect"", ""analyze"", ""propose""], ""changes"": [""tool_offset"", ""temp_comp""]}",0.78,2024-01-09T08:00:00Z,2024-01-09T08:00:00Z,
16,1,初品加工時の寸法ばらつきを観測し、原因を特定した。,寸法ばらつきの主因は工具摩耗と熱変位であると判定。補正テーブルと温度補正を導入し再発防止を提案。#16,manufacturing,technical,0.8,0.88,0.75,"{""task_id"": 1, ""sensor_types"": [""force"", ""temp"", ""vibration""], ""instance"": 16}","{""steps"": [""detect"", ""analyze"", ""propose""], ""changes"": [""tool_offset"", ""temp_comp""]}",0.8,2024-01-09T08:00:00Z,2024-01-09T08:00:00Z,
17,1,初品加工時の寸法ばらつきを観測し、原因を特定した。,寸法ばらつきの主因は工具摩耗と熱変位であると判定。補正テーブルと温度補正を導入し再発防止を提案。#17,manufacturing,operational,0.8200000000000001,0.85,0.78,"{""task_id"": 1, ""sensor_types"": [""force"", ""temp"", ""vibration""], ""instance"": 17}","{""steps"": [""detect"", ""analyze"", ""propose""], ""changes"": [""tool_offset"", ""temp_comp""]}",0.82,2024-01-09T08:00:00Z,2024-01-09T08:00:00Z,
18,1,初品加工時の寸法ばらつきを観測し、原因を特定した。,寸法ばらつきの主因は工具摩耗と熱変位であると判定。補正テーブルと温度補正を導入し再発防止を提案。#18,manufacturing,technical,0.8400000000000001,0.86,0.81,"{""task_id"": 1, ""sensor_types"": [""force"", ""temp"", ""vibration""], ""instance"": 18}","{""steps"": [""detect"", ""analyze"", ""propose""], ""changes"": [""tool_offset"", ""temp_comp""]}",0.84,2024-01-09T08:00:00Z,2024-01-09T08:00:00Z,
19,1,初品加工時の寸法ばらつきを観測し、原因を特定した。,寸法ばらつきの主因は工具摩耗と熱変位であると判定。補正テーブルと温度補正を導入し再発防止を提案。#19,manufacturing,operational,0.8600000000000001,0.87,0.75,"{""task_id"": 1, ""sensor_types"": [""force"", ""temp"", ""vibration""], ""instance"": 19}","{""steps"": [""detect"", ""analyze"", ""propose""], ""changes"": [""tool_offset"", ""temp_comp""]}",0.86,2024-01-09T08:00:00Z,2024-01-09T08:00:00Z,
20,1,初品加工時の寸法ばらつきを観測し、原因を特定した。,寸法ばらつきの主因は工具摩耗と熱変位であると判定。補正テーブルと温度補正を導入し再発防止を提案。#20,manufacturing,technical,0.88,0.88,0.78,"{""task_id"": 1, ""sensor_types"": [""force"", ""temp"", ""vibration""], ""instance"": 20}","{""steps"": [""detect"", ""analyze"", ""propose""], ""changes"": [""tool_offset"", ""temp_comp""]}",0.88,2024-01-09T08:00:00Z,2024-01-09T08:00:00Z,