id,user_id,task_id,level,work_target,machine,material_spec,change_factor,goal,created_at
1,3,1,15,[職務カテゴリ: 切削・初品確認 / 分類コード: NC-A-01] 対象工程 L1-1: NC加工・レベル15対応,ボール盤（標準型）,S45C炭素鋼（一般用途）,加工開始後の寸法ばらつき発生,Ra 3.2以下達成、外観品質向上,2024-01-01T00:00:00Z
2,16,2,64,[職務カテゴリ: 安全管理・環境整備 / 分類コード: NC-A-02] 対象工程 L4-2: NC加工・レベル64対応,5軸複合加工機（DMG Mori NTX-2000）,形状記憶合金（Ni-Ti系、医療機器用）,難削材加工での切削温度上昇（800℃超）,ナノ精度加工の実現（公差±0.001mm）,2024-01-01T00:00:00Z
3,11,3,43,[職務カテゴリ: 精密加工・品質管理 / 分類コード: NC-A-03] 対象工程 L3-3: NC加工・レベル43対応,CNC研削盤（Studer S33）,Inconel 718耐熱合金（航空機エンジン部品用）,微細形状加工での工具たわみ（径0.5mm以下）,微細形状の寸法精度±0.002mm確保,2024-01-01T00:00:00Z
4,10,4,53,[職務カテゴリ: 精密加工・品質管理 / 分類コード: NC-A-04] 対象工程 L3-4: NC加工・レベル53対応,CNC研削盤（Studer S33）,炭素繊維強化プラスチック（CFRP、積層構造）,高硬度材加工での工具寿命短縮（通常の1/3）,5軸加工での形状精度±0.005mm達成,2024-01-03T00:00:00Z
5,11,5,30,[職務カテゴリ: CAD/CAM・プログラミング / 分類コード: NC-A-05] 対象工程 L2-5: NC加工・レベル30対応,研削盤（Toyoda GE4P）,AISI 4340鋼材（高強度グレード、HRC 30-35）,季節変動による熱変位（室温±5℃変化）,熱変位補正による精度安定化（±0.005mm）,2024-01-03T00:00:00Z
6,4,6,14,[職務カテゴリ: 精密加工・品質管理 / 分類コード: NC-A-06] 対象工程 L1-6: NC加工・レベル14対応,NC旋盤（Mazak QT-200）,AISI 4340鋼材（標準グレード）,加工開始後の寸法ばらつき発生,寸法公差±0.02mm以内、バリ発生抑制,2024-01-03T00:00:00Z
7,9,7,71,[職務カテゴリ: 切削・初品確認 / 分類コード: NC-A-07] 対象工程 L4-7: NC加工・レベル71対応,5軸複合加工機（DMG Mori NTX-2000）,形状記憶合金（Ni-Ti系、医療機器用）,難削材加工での切削温度上昇（800℃超）,難削材加工での安定生産確立（工具寿命100個以上）,2024-01-06T00:00:00Z
8,19,8,22,[職務カテゴリ: CAD/CAM・プログラミング / 分類コード: NC-A-08] 対象工程 L2-8: NC加工・レベル22対応,NC旋盤（Okuma LB-3000）,Ti-6Al-4Vチタン合金（航空機用）,複数工程での累積公差の影響,サイクルタイム20%短縮、品質維持,2024-01-06T00:00:00Z
9,12,9,6,[職務カテゴリ: CAD/CAM・プログラミング / 分類コード: NC-A-09] 対象工程 L1-9: NC加工・レベル6対応,汎用フライス盤（Mori Seiki NH-4000）,S45C炭素鋼（一般用途）,新規ロット材導入（ロット番号変更）,Ra 3.2以下達成、外観品質向上,2024-01-06T00:00:00Z
10,17,10,35,[職務カテゴリ: 材料選定・特性評価 / 分類コード: NC-A-10] 対象工程 L2-10: NC加工・レベル35対応,NC旋盤（Okuma LB-3000）,NAK80プリハードン鋼（HRC 37-43）,季節変動による熱変位（室温±5℃変化）,熱変位補正による精度安定化（±0.005mm）,2024-01-07T00:00:00Z
11,12,11,13,[職務カテゴリ: 生産効率・改善活動 / 分類コード: NC-A-11] 対象工程 L1-11: NC加工・レベル13対応,ボール盤（標準型）,SUS304ステンレス鋼（汎用）,表面粗さの悪化傾向,寸法公差±0.02mm以内、バリ発生抑制,2024-01-07T00:00:00Z
12,8,12,93,[職務カテゴリ: 精密加工・品質管理 / 分類コード: NC-A-12] 対象工程 L5-12: NC加工・レベル93対応,レーザー加工機（Trumpf TruLaser 5030）,傾斜機能材料（FGM、熱遮蔽コーティング用）,原子レベルの表面粗さ要求（Ra < 0.01μm）,極限環境加工技術の開発と実用化,2024-01-07T00:00:00Z
13,1,13,93,[職務カテゴリ: 多軸加工・複雑形状 / 分類コード: NC-A-13] 対象工程 L5-13: NC加工・レベル93対応,超高速マシニングセンタ（Makino D500）,ナノ結晶材料（粒径50nm以下、超高強度）,極限環境での加工条件最適化（真空中・極低温）,新材料加工プロセスの確立と標準化,2024-01-10T00:00:00Z
14,4,14,35,[職務カテゴリ: 切削・初品確認 / 分類コード: NC-A-14] 対象工程 L2-14: NC加工・レベル35対応,マシニングセンタ（DMG Mori NVX-5000）,Ti-6Al-4Vチタン合金（航空機用）,季節変動による熱変位（室温±5℃変化）,熱変位補正による精度安定化（±0.005mm）,2024-01-10T00:00:00Z
15,10,15,89,[職務カテゴリ: 多軸加工・複雑形状 / 分類コード: NC-A-15] 対象工程 L5-15: NC加工・レベル89対応,ナノ精度加工機（Moore Nanotech 350FG）,メタマテリアル複合材（負の屈折率特性）,新材料の切削データベース不在（実験的加工）,極限環境加工技術の開発と実用化,2024-01-10T00:00:00Z
16,14,16,39,[職務カテゴリ: 切削・初品確認 / 分類コード: NC-A-16] 対象工程 L2-16: NC加工・レベル39対応,マシニングセンタ（DMG Mori NVX-5000）,NAK80プリハードン鋼（HRC 37-43）,工具摩耗進行による寸法変動（500個加工後）,熱変位補正による精度安定化（±0.005mm）,2024-01-12T00:00:00Z
17,17,17,70,[職務カテゴリ: 測定・検査技術 / 分類コード: NC-A-17] 対象工程 L4-17: NC加工・レベル70対応,超精密加工機（Makino V33i）,形状記憶合金（Ni-Ti系、医療機器用）,難削材加工での切削温度上昇（800℃超）,難削材加工での安定生産確立（工具寿命100個以上）,2024-01-12T00:00:00Z
18,14,18,91,[職務カテゴリ: 切削・初品確認 / 分類コード: NC-A-18] 対象工程 L5-18: NC加工・レベル91対応,ナノ精度加工機（Moore Nanotech 350FG）,メタマテリアル複合材（負の屈折率特性）,原子レベルの表面粗さ要求（Ra < 0.01μm）,極限環境加工技術の開発と実用化,2024-01-12T00:00:00Z
19,3,19,26,[職務カテゴリ: 精密加工・品質管理 / 分類コード: NC-A-19] 対象工程 L2-19: NC加工・レベル26対応,NC旋盤（Okuma LB-3000）,Ti-6Al-4Vチタン合金（航空機用）,複数工程での累積公差の影響,寸法公差±0.01mm維持、工具寿命30%向上,2024-01-14T00:00:00Z
20,8,20,50,[職務カテゴリ: 多軸加工・複雑形状 / 分類コード: NC-A-20] 対象工程 L3-20: NC加工・レベル50対応,CNC研削盤（Studer S33）,炭素繊維強化プラスチック（CFRP、積層構造）,微細形状加工での工具たわみ（径0.5mm以下）,微細形状の寸法精度±0.002mm確保,2024-01-14T00:00:00Z
21,9,21,26,[職務カテゴリ: 測定・検査技術 / 分類コード: NC-A-21] 対象工程 L2-21: NC加工・レベル26対応,マシニングセンタ（DMG Mori NVX-5000）,Ti-6Al-4Vチタン合金（航空機用）,複数工程での累積公差の影響,寸法公差±0.01mm維持、工具寿命30%向上,2024-01-14T00:00:00Z
22,2,22,58,[職務カテゴリ: 切削・初品確認 / 分類コード: NC-A-22] 対象工程 L3-22: NC加工・レベル58対応,5軸マシニングセンタ（DMG Mori DMU-50）,超硬合金（WC-Co系、HRA 90以上）,高硬度材加工での工具寿命短縮（通常の1/3）,5軸加工での形状精度±0.005mm達成,2024-01-15T00:00:00Z
23,7,23,39,[職務カテゴリ: 工具管理・最適化 / 分類コード: NC-A-23] 対象工程 L2-23: NC加工・レベル39対応,NC旋盤（Okuma LB-3000）,AISI 4340鋼材（高強度グレード、HRC 30-35）,工具摩耗進行による寸法変動（500個加工後）,熱変位補正による精度安定化（±0.005mm）,2024-01-15T00:00:00Z
24,20,24,26,[職務カテゴリ: メンテナンス・トラブル対応 / 分類コード: NC-A-24] 対象工程 L2-24: NC加工・レベル26対応,研削盤（Toyoda GE4P）,NAK80プリハードン鋼（HRC 37-43）,季節変動による熱変位（室温±5℃変化）,サイクルタイム20%短縮、品質維持,2024-01-15T00:00:00Z
25,19,25,13,[職務カテゴリ: メンテナンス・トラブル対応 / 分類コード: NC-A-25] 対象工程 L1-25: NC加工・レベル13対応,NC旋盤（Mazak QT-200）,SUS304ステンレス鋼（汎用）,新規ロット材導入（ロット番号変更）,寸法公差±0.02mm以内、バリ発生抑制,2024-01-17T00:00:00Z
26,2,26,90,[職務カテゴリ: 多軸加工・複雑形状 / 分類コード: NC-A-26] 対象工程 L5-26: NC加工・レベル90対応,ナノ精度加工機（Moore Nanotech 350FG）,傾斜機能材料（FGM、熱遮蔽コーティング用）,新材料の切削データベース不在（実験的加工）,極限環境加工技術の開発と実用化,2024-01-17T00:00:00Z
27,8,27,30,[職務カテゴリ: メンテナンス・トラブル対応 / 分類コード: NC-A-27] 対象工程 L2-27: NC加工・レベル30対応,NC旋盤（Okuma LB-3000）,Ti-6Al-4Vチタン合金（航空機用）,工具摩耗進行による寸法変動（500個加工後）,熱変位補正による精度安定化（±0.005mm）,2024-01-17T00:00:00Z
28,13,28,15,[職務カテゴリ: 測定・検査技術 / 分類コード: NC-A-28] 対象工程 L1-28: NC加工・レベル15対応,NC旋盤（Mazak QT-200）,S45C炭素鋼（一般用途）,加工開始後の寸法ばらつき発生,初品寸法公差内維持、不良率5%以下,2024-01-19T00:00:00Z
29,19,29,82,[職務カテゴリ: 工具管理・最適化 / 分類コード: NC-A-29] 対象工程 L5-29: NC加工・レベル82対応,超高速マシニングセンタ（Makino D500）,ナノ結晶材料（粒径50nm以下、超高強度）,極限環境での加工条件最適化（真空中・極低温）,極限環境加工技術の開発と実用化,2024-01-19T00:00:00Z
30,19,30,60,[職務カテゴリ: 材料選定・特性評価 / 分類コード: NC-A-30] 対象工程 L3-30: NC加工・レベル60対応,5軸マシニングセンタ（DMG Mori DMU-50）,超硬合金（WC-Co系、HRA 90以上）,多軸同時加工での振動発生（固有振動数励起）,高硬度材加工での工具寿命確保（200個以上）,2024-01-19T00:00:00Z
31,15,31,65,[職務カテゴリ: 安全管理・環境整備 / 分類コード: 材料-B-01] 対象工程 L4-1: 材料特性・レベル65対応,5軸複合加工機（DMG Mori NTX-2000）,形状記憶合金（Ni-Ti系、医療機器用）,難削材加工での切削温度上昇（800℃超）,ナノ精度加工の実現（公差±0.001mm）,2024-01-19T00:00:00Z
32,11,32,68,[職務カテゴリ: 材料選定・特性評価 / 分類コード: 材料-B-02] 対象工程 L4-2: 材料特性・レベル68対応,超精密加工機（Makino V33i）,形状記憶合金（Ni-Ti系、医療機器用）,ナノレベル精度要求（公差±0.001mm）,難削材加工での安定生産確立（工具寿命100個以上）,2024-01-19T00:00:00Z
33,9,33,68,[職務カテゴリ: メンテナンス・トラブル対応 / 分類コード: 材料-B-03] 対象工程 L4-3: 材料特性・レベル68対応,超精密加工機（Makino V33i）,単結晶ニッケル基超合金（CMSX-4、タービンブレード用）,ナノレベル精度要求（公差±0.001mm）,複雑5軸加工の無人化運転達成,2024-01-19T00:00:00Z
34,6,34,38,[職務カテゴリ: 生産効率・改善活動 / 分類コード: 材料-B-04] 対象工程 L2-4: 材料特性・レベル38対応,マシニングセンタ（DMG Mori NVX-5000）,Ti-6Al-4Vチタン合金（航空機用）,複数工程での累積公差の影響,サイクルタイム20%短縮、品質維持,2024-01-22T00:00:00Z
35,2,35,17,[職務カテゴリ: 材料選定・特性評価 / 分類コード: 材料-B-05] 対象工程 L1-5: 材料特性・レベル17対応,NC旋盤（Mazak QT-200）,SUS304ステンレス鋼（汎用）,表面粗さの悪化傾向,寸法公差±0.02mm以内、バリ発生抑制,2024-01-22T00:00:00Z
36,18,36,93,[職務カテゴリ: 測定・検査技術 / 分類コード: 材料-B-06] 対象工程 L5-6: 材料特性・レベル93対応,ナノ精度加工機（Moore Nanotech 350FG）,ナノ結晶材料（粒径50nm以下、超高強度）,極限環境での加工条件最適化（真空中・極低温）,極限環境加工技術の開発と実用化,2024-01-22T00:00:00Z
37,8,37,3,[職務カテゴリ: 安全管理・環境整備 / 分類コード: 材料-B-07] 対象工程 L1-7: 材料特性・レベル3対応,汎用フライス盤（Mori Seiki NH-4000）,AISI 4340鋼材（標準グレード）,表面粗さの悪化傾向,初品寸法公差内維持、不良率5%以下,2024-01-23T00:00:00Z
38,12,38,12,[職務カテゴリ: 測定・検査技術 / 分類コード: 材料-B-08] 対象工程 L1-8: 材料特性・レベル12対応,ボール盤（標準型）,AISI 4340鋼材（標準グレード）,新規ロット材導入（ロット番号変更）,Ra 3.2以下達成、外観品質向上,2024-01-23T00:00:00Z
39,19,39,47,[職務カテゴリ: 安全管理・環境整備 / 分類コード: 材料-B-09] 対象工程 L3-9: 材料特性・レベル47対応,5軸マシニングセンタ（DMG Mori DMU-50）,超硬合金（WC-Co系、HRA 90以上）,微細形状加工での工具たわみ（径0.5mm以下）,高硬度材加工での工具寿命確保（200個以上）,2024-01-23T00:00:00Z
40,17,40,14,[職務カテゴリ: 測定・検査技術 / 分類コード: 材料-B-10] 対象工程 L1-10: 材料特性・レベル14対応,ボール盤（標準型）,SUS304ステンレス鋼（汎用）,加工開始後の寸法ばらつき発生,初品寸法公差内維持、不良率5%以下,2024-01-25T00:00:00Z
41,8,41,37,[職務カテゴリ: 工具管理・最適化 / 分類コード: 材料-B-11] 対象工程 L2-11: 材料特性・レベル37対応,研削盤（Toyoda GE4P）,Ti-6Al-4Vチタン合金（航空機用）,工具摩耗進行による寸法変動（500個加工後）,熱変位補正による精度安定化（±0.005mm）,2024-01-25T00:00:00Z
42,16,42,29,[職務カテゴリ: CAD/CAM・プログラミング / 分類コード: 材料-B-12] 対象工程 L2-12: 材料特性・レベル29対応,マシニングセンタ（DMG Mori NVX-5000）,Ti-6Al-4Vチタン合金（航空機用）,複数工程での累積公差の影響,寸法公差±0.01mm維持、工具寿命30%向上,2024-01-25T00:00:00Z
43,11,43,29,[職務カテゴリ: 生産効率・改善活動 / 分類コード: 材料-B-13] 対象工程 L2-13: 材料特性・レベル29対応,研削盤（Toyoda GE4P）,AISI 4340鋼材（高強度グレード、HRC 30-35）,季節変動による熱変位（室温±5℃変化）,サイクルタイム20%短縮、品質維持,2024-01-28T00:00:00Z
44,13,44,92,[職務カテゴリ: 切削・初品確認 / 分類コード: 材料-B-14] 対象工程 L5-14: 材料特性・レベル92対応,ナノ精度加工機（Moore Nanotech 350FG）,傾斜機能材料（FGM、熱遮蔽コーティング用）,新材料の切削データベース不在（実験的加工）,原子レベル表面仕上げの安定生産（Ra < 0.01μm）,2024-01-28T00:00:00Z
45,8,45,47,[職務カテゴリ: 材料選定・特性評価 / 分類コード: 材料-B-15] 対象工程 L3-15: 材料特性・レベル47対応,複合加工機（Mazak Integrex i-200）,炭素繊維強化プラスチック（CFRP、積層構造）,微細形状加工での工具たわみ（径0.5mm以下）,高硬度材加工での工具寿命確保（200個以上）,2024-01-28T00:00:00Z
46,10,46,16,[職務カテゴリ: メンテナンス・トラブル対応 / 分類コード: 材料-B-16] 対象工程 L1-16: 材料特性・レベル16対応,汎用フライス盤（Mori Seiki NH-4000）,AISI 4340鋼材（標準グレード）,新規ロット材導入（ロット番号変更）,Ra 3.2以下達成、外観品質向上,2024-01-29T00:00:00Z
47,12,47,1,[職務カテゴリ: 測定・検査技術 / 分類コード: 材料-B-17] 対象工程 L1-17: 材料特性・レベル1対応,汎用フライス盤（Mori Seiki NH-4000）,S45C炭素鋼（一般用途）,表面粗さの悪化傾向,寸法公差±0.02mm以内、バリ発生抑制,2024-01-29T00:00:00Z
48,18,48,30,[職務カテゴリ: 生産効率・改善活動 / 分類コード: 材料-B-18] 対象工程 L2-18: 材料特性・レベル30対応,NC旋盤（Okuma LB-3000）,NAK80プリハードン鋼（HRC 37-43）,季節変動による熱変位（室温±5℃変化）,熱変位補正による精度安定化（±0.005mm）,2024-01-29T00:00:00Z
49,8,49,99,[職務カテゴリ: 安全管理・環境整備 / 分類コード: 材料-B-19] 対象工程 L5-19: 材料特性・レベル99対応,レーザー加工機（Trumpf TruLaser 5030）,メタマテリアル複合材（負の屈折率特性）,新材料の切削データベース不在（実験的加工）,原子レベル表面仕上げの安定生産（Ra < 0.01μm）,2024-01-30T00:00:00Z
50,13,50,74,[職務カテゴリ: 切削・初品確認 / 分類コード: 材料-B-20] 対象工程 L4-20: 材料特性・レベル74対応,超精密加工機（Makino V33i）,単結晶ニッケル基超合金（CMSX-4、タービンブレード用）,ナノレベル精度要求（公差±0.001mm）,ナノ精度加工の実現（公差±0.001mm）,2024-01-30T00:00:00Z
51,19,51,59,[職務カテゴリ: 安全管理・環境整備 / 分類コード: 材料-B-21] 対象工程 L3-21: 材料特性・レベル59対応,5軸マシニングセンタ（DMG Mori DMU-50）,Inconel 718耐熱合金（航空機エンジン部品用）,高硬度材加工での工具寿命短縮（通常の1/3）,高硬度材加工での工具寿命確保（200個以上）,2024-01-30T00:00:00Z
52,2,52,65,[職務カテゴリ: 測定・検査技術 / 分類コード: 材料-B-22] 対象工程 L4-22: 材料特性・レベル65対応,超精密加工機（Makino V33i）,単結晶ニッケル基超合金（CMSX-4、タービンブレード用）,複雑形状での工具干渉リスク（5軸加工）,ナノ精度加工の実現（公差±0.001mm）,2024-02-02T00:00:00Z
53,13,53,25,[職務カテゴリ: 多軸加工・複雑形状 / 分類コード: 材料-B-23] 対象工程 L2-23: 材料特性・レベル25対応,研削盤（Toyoda GE4P）,AISI 4340鋼材（高強度グレード、HRC 30-35）,季節変動による熱変位（室温±5℃変化）,サイクルタイム20%短縮、品質維持,2024-02-02T00:00:00Z
54,8,54,92,[職務カテゴリ: 工具管理・最適化 / 分類コード: 材料-B-24] 対象工程 L5-24: 材料特性・レベル92対応,レーザー加工機（Trumpf TruLaser 5030）,傾斜機能材料（FGM、熱遮蔽コーティング用）,原子レベルの表面粗さ要求（Ra < 0.01μm）,新材料加工プロセスの確立と標準化,2024-02-02T00:00:00Z
55,1,55,57,[職務カテゴリ: メンテナンス・トラブル対応 / 分類コード: 材料-B-25] 対象工程 L3-25: 材料特性・レベル57対応,5軸マシニングセンタ（DMG Mori DMU-50）,炭素繊維強化プラスチック（CFRP、積層構造）,微細形状加工での工具たわみ（径0.5mm以下）,微細形状の寸法精度±0.002mm確保,2024-02-05T00:00:00Z
56,14,56,77,[職務カテゴリ: 測定・検査技術 / 分類コード: 材料-B-26] 対象工程 L4-26: 材料特性・レベル77対応,超精密加工機（Makino V33i）,窒化ケイ素セラミックス（Si3N4、高温用途）,複雑形状での工具干渉リスク（5軸加工）,難削材加工での安定生産確立（工具寿命100個以上）,2024-02-05T00:00:00Z
57,17,57,62,[職務カテゴリ: 安全管理・環境整備 / 分類コード: 材料-B-27] 対象工程 L4-27: 材料特性・レベル62対応,5軸複合加工機（DMG Mori NTX-2000）,窒化ケイ素セラミックス（Si3N4、高温用途）,難削材加工での切削温度上昇（800℃超）,ナノ精度加工の実現（公差±0.001mm）,2024-02-05T00:00:00Z
58,1,58,99,[職務カテゴリ: 工具管理・最適化 / 分類コード: 材料-B-28] 対象工程 L5-28: 材料特性・レベル99対応,レーザー加工機（Trumpf TruLaser 5030）,メタマテリアル複合材（負の屈折率特性）,原子レベルの表面粗さ要求（Ra < 0.01μm）,極限環境加工技術の開発と実用化,2024-02-07T00:00:00Z
59,8,59,67,[職務カテゴリ: 精密加工・品質管理 / 分類コード: 材料-B-29] 対象工程 L4-29: 材料特性・レベル67対応,ワイヤー放電加工機（Sodick AQ327L）,形状記憶合金（Ni-Ti系、医療機器用）,ナノレベル精度要求（公差±0.001mm）,難削材加工での安定生産確立（工具寿命100個以上）,2024-02-07T00:00:00Z
60,7,60,46,[職務カテゴリ: 精密加工・品質管理 / 分類コード: 材料-B-30] 対象工程 L3-30: 材料特性・レベル46対応,複合加工機（Mazak Integrex i-200）,Inconel 718耐熱合金（航空機エンジン部品用）,高硬度材加工での工具寿命短縮（通常の1/3）,微細形状の寸法精度±0.002mm確保,2024-02-07T00:00:00Z
61,2,61,7,[職務カテゴリ: 材料選定・特性評価 / 分類コード: 高精-C-01] 対象工程 L1-1: 高精度加工・レベル7対応,NC旋盤（Mazak QT-200）,SUS304ステンレス鋼（汎用）,加工開始後の寸法ばらつき発生,初品寸法公差内維持、不良率5%以下,2024-02-07T00:00:00Z
62,20,62,64,[職務カテゴリ: 工具管理・最適化 / 分類コード: 高精-C-02] 対象工程 L4-2: 高精度加工・レベル64対応,超精密加工機（Makino V33i）,単結晶ニッケル基超合金（CMSX-4、タービンブレード用）,複雑形状での工具干渉リスク（5軸加工）,難削材加工での安定生産確立（工具寿命100個以上）,2024-02-07T00:00:00Z
63,3,63,5,[職務カテゴリ: 材料選定・特性評価 / 分類コード: 高精-C-03] 対象工程 L1-3: 高精度加工・レベル5対応,汎用フライス盤（Mori Seiki NH-4000）,S45C炭素鋼（一般用途）,新規ロット材導入（ロット番号変更）,寸法公差±0.02mm以内、バリ発生抑制,2024-02-07T00:00:00Z
64,4,64,69,[職務カテゴリ: 切削・初品確認 / 分類コード: 高精-C-04] 対象工程 L4-4: 高精度加工・レベル69対応,ワイヤー放電加工機（Sodick AQ327L）,窒化ケイ素セラミックス（Si3N4、高温用途）,ナノレベル精度要求（公差±0.001mm）,複雑5軸加工の無人化運転達成,2024-02-08T00:00:00Z
65,5,65,76,[職務カテゴリ: 生産効率・改善活動 / 分類コード: 高精-C-05] 対象工程 L4-5: 高精度加工・レベル76対応,5軸複合加工機（DMG Mori NTX-2000）,単結晶ニッケル基超合金（CMSX-4、タービンブレード用）,複雑形状での工具干渉リスク（5軸加工）,ナノ精度加工の実現（公差±0.001mm）,2024-02-08T00:00:00Z
66,11,66,27,[職務カテゴリ: 安全管理・環境整備 / 分類コード: 高精-C-06] 対象工程 L2-6: 高精度加工・レベル27対応,マシニングセンタ（DMG Mori NVX-5000）,AISI 4340鋼材（高強度グレード、HRC 30-35）,季節変動による熱変位（室温±5℃変化）,寸法公差±0.01mm維持、工具寿命30%向上,2024-02-08T00:00:00Z
67,3,67,68,[職務カテゴリ: 生産効率・改善活動 / 分類コード: 高精-C-07] 対象工程 L4-7: 高精度加工・レベル68対応,超精密加工機（Makino V33i）,単結晶ニッケル基超合金（CMSX-4、タービンブレード用）,難削材加工での切削温度上昇（800℃超）,複雑5軸加工の無人化運転達成,2024-02-10T00:00:00Z
68,4,68,70,[職務カテゴリ: 生産効率・改善活動 / 分類コード: 高精-C-08] 対象工程 L4-8: 高精度加工・レベル70対応,超精密加工機（Makino V33i）,形状記憶合金（Ni-Ti系、医療機器用）,複雑形状での工具干渉リスク（5軸加工）,複雑5軸加工の無人化運転達成,2024-02-10T00:00:00Z
69,6,69,58,[職務カテゴリ: 生産効率・改善活動 / 分類コード: 高精-C-09] 対象工程 L3-9: 高精度加工・レベル58対応,CNC研削盤（Studer S33）,Inconel 718耐熱合金（航空機エンジン部品用）,微細形状加工での工具たわみ（径0.5mm以下）,微細形状の寸法精度±0.002mm確保,2024-02-10T00:00:00Z
70,18,70,30,[職務カテゴリ: 切削・初品確認 / 分類コード: 高精-C-10] 対象工程 L2-10: 高精度加工・レベル30対応,マシニングセンタ（DMG Mori NVX-5000）,NAK80プリハードン鋼（HRC 37-43）,工具摩耗進行による寸法変動（500個加工後）,熱変位補正による精度安定化（±0.005mm）,2024-02-13T00:00:00Z
71,16,71,61,[職務カテゴリ: 安全管理・環境整備 / 分類コード: 高精-C-11] 対象工程 L4-11: 高精度加工・レベル61対応,5軸複合加工機（DMG Mori NTX-2000）,単結晶ニッケル基超合金（CMSX-4、タービンブレード用）,複雑形状での工具干渉リスク（5軸加工）,難削材加工での安定生産確立（工具寿命100個以上）,2024-02-13T00:00:00Z
72,20,72,26,[職務カテゴリ: CAD/CAM・プログラミング / 分類コード: 高精-C-12] 対象工程 L2-12: 高精度加工・レベル26対応,マシニングセンタ（DMG Mori NVX-5000）,AISI 4340鋼材（高強度グレード、HRC 30-35）,工具摩耗進行による寸法変動（500個加工後）,熱変位補正による精度安定化（±0.005mm）,2024-02-13T00:00:00Z
73,8,73,60,[職務カテゴリ: 工具管理・最適化 / 分類コード: 高精-C-13] 対象工程 L3-13: 高精度加工・レベル60対応,CNC研削盤（Studer S33）,炭素繊維強化プラスチック（CFRP、積層構造）,多軸同時加工での振動発生（固有振動数励起）,5軸加工での形状精度±0.005mm達成,2024-02-14T00:00:00Z
74,1,74,48,[職務カテゴリ: 切削・初品確認 / 分類コード: 高精-C-14] 対象工程 L3-14: 高精度加工・レベル48対応,複合加工機（Mazak Integrex i-200）,Inconel 718耐熱合金（航空機エンジン部品用）,微細形状加工での工具たわみ（径0.5mm以下）,5軸加工での形状精度±0.005mm達成,2024-02-14T00:00:00Z
75,17,75,58,[職務カテゴリ: CAD/CAM・プログラミング / 分類コード: 高精-C-15] 対象工程 L3-15: 高精度加工・レベル58対応,CNC研削盤（Studer S33）,Inconel 718耐熱合金（航空機エンジン部品用）,高硬度材加工での工具寿命短縮（通常の1/3）,5軸加工での形状精度±0.005mm達成,2024-02-14T00:00:00Z
