id,original_text,normalized_text,category,domain,value,unit,min_range,max_range,typical_value,precision,confidence,abstract_level,source,notes,validated,created_by,updated_by
design_precision,設計精度要求,設計精度要求,precision,robot_design,0.01,mm,0.005,0.02,0.01,3,0.95,concrete,automatic,goalFn: 位置決め精度最適化,true,system,system
gripper_force,グリッパー把持力,グリッパー把持力,force,robot_gripper,50.0,N,10.0,100.0,50.0,0,0.85,concrete,hybrid,limit: 最小把持力 max: 破損限界力,true,system,system
joint_backlash,関節バックラッシュ,関節バックラッシュ,mechanical,robot_joint,0.05,degree,0.01,0.1,0.05,2,0.9,concrete,automatic,SSM: 加工精度と動作精度の相関,true,system,system
motor_torque,モーター定格トルク,モーター定格トルク,power,robot_actuator,10.0,Nm,5.0,15.0,10.0,1,0.95,concrete,manual,goalFn: 負荷トルク最適化,true,system,system
assembly_tolerance,組立公差累積,組立公差累積,tolerance,robot_assembly,0.2,mm,0.1,0.3,0.2,1,0.8,semi-abstract,hybrid,SECI: 組立ノウハウの形式知化,false,system,system
repeatability,繰り返し精度,繰り返し精度,performance,robot_calibration,0.02,mm,0.01,0.05,0.02,2,0.92,concrete,automatic,nc(): 繰り返し測定による精度向上,true,system,system
cycle_time,サイクルタイム,サイクルタイム,time,robot_performance,2.5,second,1.5,4.0,2.5,1,0.88,concrete,automatic,goalFn: 生産性最大化,true,system,system
vision_accuracy,ビジョン認識精度,ビジョン認識精度,perception,robot_vision,1.0,mm,0.5,2.0,1.0,1,0.85,semi-abstract,automatic,Teaching-free: 自律的物体認識,false,system,system
force_control,力制御感度,力制御感度,control,robot_control,0.1,N,0.05,0.5,0.1,2,0.9,semi-abstract,hybrid,暗黙知→形式知: 人の力加減を数値化,true,system,system
mtbf,平均故障間隔,平均故障間隔,reliability,robot_maintenance,5000.0,hour,3000.0,8000.0,5000.0,0,0.8,abstract,automatic,予知保全: IoTセンサーによる状態監視,false,system,system
cutting_speed_l1,切削速度基本,切削速度基本,speed,machining,120.0,m/min,100.0,140.0,120.0,0,0.85,concrete,manual,L1: 基本的な切削条件,true,system,system
feed_rate_l1,送り速度基本,送り速度基本,feed,machining,0.2,mm/rev,0.15,0.25,0.2,2,0.8,concrete,manual,L1: 初品確認用設定,true,system,system
surface_roughness_l1,表面粗さ基本,表面粗さ基本,quality,machining,3.2,Ra,2.0,4.0,3.2,1,0.75,concrete,manual,L1: 外観品質基準,false,system,system
tool_life_l2,工具寿命応用,工具寿命応用,durability,machining,60.0,minute,30.0,90.0,60.0,0,0.82,semi-abstract,hybrid,L2: 工具摩耗管理,true,system,system
vibration_threshold,振動閾値,振動閾値,stability,machining,0.05,mm,0.02,0.1,0.05,2,0.78,semi-abstract,automatic,振動モニタリング基準,false,system,system
coolant_pressure,クーラント圧力,クーラント圧力,cooling,machining,1.5,MPa,1.0,2.0,1.5,1,0.88,concrete,manual,SUS304加工時の推奨値,true,system,system
chip_length,切りくず長さ,切りくず長さ,waste,machining,5.0,mm,2.0,10.0,5.0,0,0.7,semi-abstract,hybrid,切りくず処理の最適化,false,system,system
positioning_accuracy,位置決め精度,位置決め精度,precision,robot_control,0.01,mm,0.005,0.02,0.01,3,0.94,concrete,automatic,6軸ロボット標準精度,true,system,system
payload_capacity,可搬重量,可搬重量,capacity,robot_design,5.0,kg,2.0,10.0,5.0,0,0.92,concrete,manual,標準アーム仕様,true,system,system
work_envelope,作業領域,作業領域,range,robot_design,850.0,mm,700.0,1000.0,850.0,0,0.9,concrete,manual,球状作業空間半径,true,system,system