id,context_id,tool_spec,eval_factors,measurement_method,concern,created_at
1,1,TNMG160408 (汎用) 標準コーティング,切削速度・送り速度・切込み深さ,マイクロメータによる寸法測定・表面粗さ計,初回切削でのバリ発生（要因: 切削条件未調整）,2020-01-01 00:00:00
2,2,TNMG160408 (汎用) 標準コーティング,機械暖機時間・初品寸法ばらつき,3点測定による寸法確認・温度計,加工開始時の寸法不安定（要因: 機械暖機不足）,2020-01-08 00:00:00
3,3,TNMG160408 (汎用) 標準コーティング,送り速度・表面粗さ,表面粗さ計Ra測定・目視検査,表面に縦筋発生（要因: 送り速度過大）,2020-01-15 00:00:00
4,4,TNMG160408 (汎用) 標準コーティング チップブレーカー,切削速度・切りくず形状,目視による切りくず観察・安全性評価,長い切りくずによる危険性,2020-01-22 00:00:00
5,5,TNMG160408 (汎用) 標準コーティング,工具摩耗量・加工個数,顕微鏡による刃先観察・VB測定,摩耗進行の見落とし,2020-01-29 00:00:00
6,6,汎用チップ (ISO CNMG) Al2O3コーティング,材料硬度・工具寿命・面粗度,硬度計・表面粗さ計・工具寿命記録,摩耗による面粗度のばらつき,2020-02-05 00:00:00
7,7,再研磨チップ + AlTiNコーティング,送り速度・面粗度,表面粗さ計Ra測定・チップごとの記録,チップごとの仕上がりのばらつき,2020-02-12 00:00:00
8,8,TNMG160408 (Sumitomo) AlTiNコーティング SUS304向けブレーカ形状,切削速度・送り速度・クーラント圧力,振動計・クーラント圧力計・切りくず観察,高回転での振動・冷却不足・粘り材質の切りくず絡み,2020-02-19 00:00:00
9,9,特殊形状ブレーカー付きPVDチップ 内径冷却対応,送り速度・切削深さ・振動,振動計・Z軸送り精度測定・DoE実験計画,送り方向の振動・Z軸送りずれによる精度不良,2020-02-26 00:00:00
10,10,センサ付き工具（摩耗・振動計測）AI対応切削条件マップ搭載,リアルタイム摩耗量・振動・温度,AIモデルによる予測・センサデータ統合,加工状態の自律変化に対するモデル遅延,2020-03-04 00:00:00
11,11,CBN工具 高速切削対応,切削速度・温度・真円度,真円度測定器・温度センサ・適応制御,熱変形による精度劣化,2020-03-11 00:00:00
12,12,ダイヤモンドコーティング工具,切削力・変形量,変形測定・応力解析・多段階加工,切削力による弾性変形,2020-03-18 00:00:00
13,13,セラミック工具 高圧クーラント,工具寿命・加工時間・工具経路,工具摩耗記録・加工時間測定・経路最適化,急激な工具摩耗と加工硬化,2020-03-25 00:00:00
14,14,PCD工具 特殊刃形状,切削方向・送り速度・層間剥離,目視検査・超音波検査・切削方向分析,繊維方向による加工性の違い,2020-04-01 00:00:00
15,15,指導用教材・シミュレータ・VR訓練システム,教育効果・理解度・技能習得時間,スキル評価テスト・実技試験・フィードバック,暗黙知の形式知化の困難さ,2020-04-08 00:00:00
16,16,機械学習プラットフォーム・特徴量エンジニアリング,判断精度・モデル性能・コンテキスト理解,AIモデル評価指標・検証データセット,コンテキスト依存の判断の数値化,2020-04-15 00:00:00