id,type,domain,tacit_knowledge,explicit_form,seci_stage,method,accuracy,coverage,consistency,abstract_level,validated
assembly_skill_pattern,tacit,robot_assembly,熟練工の『しっくりくる』感覚,力覚センサ値: Fx<0.5N Fy<0.5N Tz<0.1Nm,共同化→表出化→連結化→内面化,力覚データ記録→パターン分析→閾値設定,0.85,0.75,0.90,L1,true
vision_recognition_pattern,explicit,robot_vision,対象物の見分け方,深層学習モデル: ResNet-50 mAP=0.92,表出化→連結化,画像収集→アノテーション→学習→検証,0.92,0.88,0.95,L0,true
quality_inspection_pattern,hybrid,robot_inspection,検査員の違和感察知,異常検知アルゴリズム: Isolation Forest threshold=0.05,共同化→表出化→連結化,異常サンプル収集→特徴量抽出→モデル学習,0.94,0.89,0.96,L1,true
cutting_feel_pattern,tacit,machining,切削時の手応え,切削抵抗: 主分力<200N 背分力<50N,共同化→表出化,センサデータ収集→感覚との対応付け,0.78,0.72,0.85,L2,false
vibration_sense_pattern,tacit,machining,振動の違和感,周波数スペクトル: 1-10kHz帯域のピーク検出,共同化→表出化→連結化,振動測定→FFT解析→パターン認識,0.82,0.80,0.88,L1,true
tool_wear_pattern,hybrid,machining,工具摩耗の判断,摩耗量: VB<0.3mm 寿命判定基準,表出化→連結化→内面化,摩耗進行データ→予測モデル構築,0.88,0.85,0.92,L1,true
surface_quality_pattern,explicit,machining,表面品質の評価,表面粗さ: Ra<1.6μm 光沢度>70,連結化→内面化,測定データ→品質基準策定,0.90,0.87,0.93,L0,true
gripper_adjustment_pattern,tacit,robot_gripper,把持力の微調整,圧力センサ: 10-50N範囲で動的調整,共同化→表出化,手動調整記録→自動化アルゴリズム,0.83,0.78,0.87,L2,false
path_optimization_pattern,explicit,robot_motion,最適経路の選択,A*アルゴリズム+動的障害物回避,連結化,シミュレーション→実機検証,0.91,0.89,0.94,L0,true
error_recovery_pattern,hybrid,robot_control,エラー復帰手順,状態遷移図: 異常検知→診断→復帰動作,表出化→連結化→内面化,障害事例収集→パターン分類→自動化,0.86,0.82,0.90,L1,true
maintenance_timing_pattern,tacit,robot_maintenance,保守タイミングの判断,振動・温度・電流の複合指標,共同化→表出化→連結化,経験則→データ化→予測モデル,0.79,0.75,0.85,L2,false
teaching_skill_pattern,tacit,robot_teaching,ティーチング技能,軌道点選択: 特異点回避+最短経路,共同化→表出化,熟練者動作→軌道最適化,0.81,0.77,0.86,L2,false
calibration_pattern,explicit,robot_calibration,キャリブレーション手法,DH パラメータ同定+誤差補正,連結化→内面化,測定データ→パラメータ最適化,0.93,0.91,0.95,L0,true
force_feedback_pattern,hybrid,robot_control,力覚フィードバック,インピーダンス制御: K=100N/m B=10Ns/m,表出化→連結化,実験データ→制御パラメータ調整,0.87,0.84,0.91,L1,true
speed_optimization_pattern,explicit,robot_performance,速度最適化,台形速度プロファイル+ジャーク制限,連結化,動作解析→パラメータ最適化,0.89,0.86,0.92,L0,true
safety_response_pattern,hybrid,robot_safety,安全動作パターン,ISO10218準拠: 速度制限+力制限,表出化→連結化→内面化,規格要求→実装→検証,0.95,0.93,0.97,L0,true
material_handling_pattern,tacit,robot_handling,材料取扱いノウハウ,材質別把持パラメータセット,共同化→表出化,経験データ→データベース化,0.80,0.76,0.84,L2,false
welding_skill_pattern,hybrid,robot_welding,溶接技能,電流・速度・角度の最適組合せ,共同化→表出化→連結化,職人技→パラメータ化→自動化,0.84,0.80,0.88,L1,true
inspection_rhythm_pattern,tacit,robot_inspection,検査リズム,0.5秒/点の一定リズム維持,共同化→表出化,作業観察→タイミング分析,0.77,0.73,0.82,L2,false
adaptive_control_pattern,explicit,robot_control,適応制御,モデル予測制御: MPC with 予測ホライズン10,連結化→内面化,制御理論→実装→調整,0.90,0.88,0.93,L0,true