id,user_id,book_id,title,notes,date,created_at,updated_at
1,1,1,ウェハー薄型化検討,次世代300mmウェハーの厚み変更仕様検討,2024-03-01,2024-03-01T10:00:00Z,2024-03-01T10:00:00Z
2,1,1,加工条件見直し,既存ラインで反り発生のため条件再設定,2024-03-02,2024-03-02T10:00:00Z,2024-03-02T10:00:00Z
3,1,1,新素材評価,SiC混合シリコンの強度試験,2024-03-03,2024-03-03T10:00:00Z,2024-03-03T10:00:00Z
4,1,1,保持治具確認,チャック圧不足による割れ発生,2024-03-04,2024-03-04T10:00:00Z,2024-03-04T10:00:00Z
5,1,1,温度管理検討,加工温度上昇で反り発生,2024-03-05,2024-03-05T10:00:00Z,2024-03-05T10:00:00Z
6,1,1,顧客仕様確認,軽量化要求あり650um以下必要,2024-03-06,2024-03-06T10:00:00Z,2024-03-06T10:00:00Z
7,1,1,過去案件参照,200mmライン成功条件確認,2024-03-07,2024-03-07T10:00:00Z,2024-03-07T10:00:00Z
8,1,1,装置制限確認,現装置では回転数不足,2024-03-08,2024-03-08T10:00:00Z,2024-03-08T10:00:00Z
9,1,1,追加試験,保持圧変更テスト実施,2024-03-09,2024-03-09T10:00:00Z,2024-03-09T10:00:00Z
10,1,1,コスト評価,新素材使用でコスト増加,2024-03-10,2024-03-10T10:00:00Z,2024-03-10T10:00:00Z