id,name,type,objective_function,constraints,parameters,performance_metric,iteration_count,convergence_rate,domain,application
trajectory_optimization,軌道最適化,control_theory,minimize(time) + minimize(energy) subject to collision_free,joint_limits|collision_avoidance|singularity_avoidance,max_velocity:1000|max_acceleration:5000|sampling_time:0.001,avg_improvement:25.5|computation_time:0.15,1000,0.95,robot_motion,6軸ロボット動作計画
energy_optimization,エネルギー最適化,ml_based,minimize(energy_consumption) subject to performance_constraints,cycle_time_max:3.0|accuracy_min:0.02|payload:5.0,learning_rate:0.001|batch_size:32|epochs:1000,energy_reduction:32%|performance_maintained:true,5000,0.98,robot_efficiency,省エネルギー制御
force_optimization,力制御最適化,hybrid,optimize(force_distribution) + minimize(stress),max_force:100N|min_force:10N|safety_margin:1.5,kp:100|ki:10|kd:5|sampling_rate:1000,force_accuracy:98%|response_time:10ms,2000,0.92,robot_control,グリッパー制御
path_planning_optimization,経路計画最適化,heuristic,minimize(distance) + minimize(obstacles),workspace_limits|obstacle_clearance:50mm,grid_resolution:10mm|search_algorithm:A*|heuristic_weight:1.5,path_length_reduction:18%|planning_time:0.5s,500,0.88,robot_navigation,自律移動ロボット
vision_processing_optimization,画像処理最適化,ml_based,maximize(recognition_accuracy) / processing_time,min_accuracy:0.95|max_latency:100ms,model:ResNet50|input_size:224|batch_size:16,accuracy:97.5%|fps:30,10000,0.96,robot_vision,物体認識システム
maintenance_schedule_optimization,保守スケジュール最適化,genetic_algorithm,minimize(downtime) + minimize(maintenance_cost),mtbf_min:1000h|availability_target:0.99,population_size:100|mutation_rate:0.1|crossover_rate:0.8,downtime_reduction:40%|cost_saving:25%,1000,0.90,robot_maintenance,予知保全システム
assembly_sequence_optimization,組立順序最適化,constraint_programming,minimize(assembly_time) + minimize(reorientations),precedence_constraints|stability_constraints,search_strategy:DFS|constraint_propagation:AC3,time_reduction:22%|reorientation_reduction:35%,300,0.85,robot_assembly,自動組立ライン
welding_parameter_optimization,溶接パラメータ最適化,doe_based,maximize(weld_strength) - minimize(heat_input),current:100-300A|voltage:20-35V|speed:5-15mm/s,experiment_design:taguchi|levels:3|factors:4,strength_improvement:15%|heat_reduction:20%,100,0.93,robot_welding,アーク溶接ロボット
gripper_design_optimization,グリッパー設計最適化,topology_optimization,minimize(weight) subject to strength_constraints,max_stress:200MPa|min_safety_factor:2.0,mesh_size:2mm|material:aluminum|optimization_algorithm:SIMP,weight_reduction:35%|strength_maintained:true,2000,0.91,robot_design,軽量グリッパー開発
production_scheduling_optimization,生産スケジュール最適化,milp,minimize(makespan) + minimize(tardiness),capacity_constraints|due_date_constraints,solver:gurobi|time_limit:300s|gap_tolerance:0.01,makespan_reduction:18%|on_time_delivery:98%,5000,0.94,manufacturing,生産管理システム
quality_control_optimization,品質管理最適化,statistical_optimization,minimize(defect_rate) subject to cost_constraints,inspection_rate:0.1-1.0|false_positive_max:0.01,control_chart:xbar-r|sample_size:5|control_limits:3sigma,defect_reduction:60%|inspection_cost_reduction:30%,1000,0.89,quality_control,統計的プロセス管理
workspace_optimization,作業空間最適化,geometric_optimization,maximize(reachable_volume) / footprint,robot_dimensions|joint_limits|obstacle_positions,optimization_method:gradient_descent|step_size:0.01,workspace_utilization:85%|footprint_reduction:20%,500,0.87,robot_design,レイアウト設計
sensor_fusion_optimization,センサ融合最適化,kalman_filter,minimize(estimation_error),sensor_noise_models|system_dynamics,process_noise:0.01|measurement_noise:0.1|update_rate:100Hz,position_accuracy:99.5%|latency:5ms,continuous,0.99,robot_sensing,マルチセンサシステム
load_balancing_optimization,負荷分散最適化,queueing_theory,minimize(wait_time) + maximize(throughput),server_capacity|arrival_rate|service_rate,num_servers:5|buffer_size:100|scheduling:FIFO,throughput_increase:28%|wait_time_reduction:45%,1000,0.92,robot_coordination,マルチロボットシステム
thermal_management_optimization,熱管理最適化,finite_element,minimize(max_temperature) subject to power_constraints,ambient_temp:25C|max_temp:80C|power_dissipation:100W,mesh_elements:10000|material_properties|cooling_method:forced_air,peak_temp_reduction:15C|uniform_distribution:true,5000,0.90,robot_thermal,冷却システム設計
communication_optimization,通信最適化,network_optimization,minimize(latency) + maximize(reliability),bandwidth:1Gbps|packet_loss_max:0.001|jitter_max:1ms,protocol:TCP|buffer_size:64KB|retry_policy:exponential_backoff,latency_reduction:30%|reliability:99.99%,1000,0.88,robot_communication,リアルタイム通信
material_selection_optimization,材料選択最適化,multi_criteria,minimize(cost) + maximize(performance) + minimize(weight),strength_min:300MPa|density_max:3000kg/m3|cost_max:100$/kg,materials_database:500|selection_method:TOPSIS,cost_reduction:25%|performance_increase:20%,200,0.86,robot_materials,構造材料選定
safety_zone_optimization,安全領域最適化,probabilistic,minimize(collision_probability) subject to productivity,safety_distance:500mm|detection_reliability:0.999,sensor_coverage:360deg|response_time:100ms|safety_category:3,accident_reduction:100%|productivity_maintained:95%,1000,0.95,robot_safety,協働ロボット安全設計
learning_rate_optimization,学習率最適化,bayesian_optimization,maximize(learning_efficiency) / training_time,initial_rate:0.01|decay_rate:0.95|min_rate:0.0001,optimizer:Adam|batch_size:32|epochs:100,learning_speed_increase:40%|accuracy:96%,500,0.91,robot_learning,強化学習システム
compliance_control_optimization,コンプライアンス制御最適化,impedance_control,minimize(contact_force_error) + maximize(stability),stiffness:10-1000N/m|damping:1-100Ns/m|mass:0.1-10kg,control_rate:1000Hz|force_sensor_resolution:0.01N,force_tracking_error:2%|stability_margin:30%,2000,0.93,robot_control,力制御システム